Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Sample mass
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFOS,1.00E+03,0,2.17E+03,2.76,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFOS,1.97E+03,2.69,2.28E+03,2.67,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFOS,5.70E+02,2.67,2.44E+03,2.68,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFOS,9.92E+02,2.65,3.30E+03,2.69,1.00E+02
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFOS,1.06E+03,2.75,2.10E+03,2.75,1.00E+02
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFOS,1.10E+03,2.73,2.14E+03,2.74,1.00E+02
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFOS,0.00E+00,0,3.75E+02,2.73,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFOS,0.00E+00,0,5.05E+02,2.74,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFOS,1.32E+03,2.76,8.94E+01,2.73,2.14E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFOS,1.42E+03,2.74,1.74E+02,2.8,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFOS,0.00E+00,0,6.65E+01,2.51,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFOS,0.00E+00,0,5.61E+01,2.71,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFOS,1.92E+03,2.72,1.31E+02,2.7,1.03E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFOS,1.29E+03,2.74,1.49E+02,2.79,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFOS,3.92E+01,2.8,3.13E+02,2.7,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFOS,0.00E+00,0,1.72E+02,2.79,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFOS,3.74E+03,0,1.32E+02,2.51,1.03E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFOS,2.84E+02,2.73,3.41E+01,2.78,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFOS,0.00E+00,0,1.34E+02,2.76,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFOS,0.00E+00,0,1.35E+02,2.52,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFOS,6.33E+03,2.89,1.50E+02,0,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFOS,2.80E+02,2.73,1.02E+02,2.78,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,0.00E+00,0,6.96E+02,2.75,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Pestle,Biota,NIA,PFOS,2.57E+04,2.77,2.13E+02,2.79,7.43E-01
