Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Sample mass
2022_NIABiota_GroupE_Snail,Sample,Pestle,Biota,NIA,PFHxA,2.62E+02,2.51,4.80E+04,2.45,7.72E-01
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.43,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFHxA,7.51E+03,2.41,4.80E+04,2.43,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.43,5.50E-01
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.42,6.90E-01
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFHxA,4.18E+02,2.38,4.80E+04,2.43,7.02E-01
2022_NIABiota_GroupF_MortarBlank,Blank,Pestle,Biota,NIA,PFHxA,0.00E+00,0,4.80E+04,2.47,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Pestle,Biota,NIA,PFHxA,5.28E+03,2.43,4.80E+04,2.51,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Pestle,Biota,NIA,PFHxA,4.31E+02,2.43,4.80E+04,2.39,6.21E-01
2022_NIABiota_GroupF_Snail2,Sample,Pestle,Biota,NIA,PFHxA,3.91E+02,2.46,4.80E+04,2.43,5.42E-01
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,0.00E+00,2.48,1.32E+05,2.6,1.00E+00
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.70E+04,2.5,1.05E+05,2.6,1.00E+00
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,4.62E+04,2.5,1.08E+05,2.6,1.00E+00
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,9.94E+04,2.5,1.20E+05,2.61,1.00E+00
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.27E+05,2.5,1.17E+05,2.61,1.00E+00
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,3.34E+05,2.5,1.19E+05,2.62,1.00E+00
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,8.14E+05,2.51,1.08E+05,2.62,1.00E+00
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,1.88E+06,2.5,9.58E+04,2.62,1.00E+00
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,2.90E+06,2.51,8.20E+04,2.61,1.00E+00
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFHpA,5.23E+06,2.51,6.88E+04,2.62,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFHpA,8.91E+03,2.51,5.46E+04,2.61,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFHpA,2.05E+04,2.5,6.21E+04,2.62,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFHpA,2.01E+04,2.52,4.73E+04,2.63,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFHpA,0.00E+00,0,3.08E+04,2.64,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFHpA,7.41E+03,2.52,3.92E+04,2.63,1.00E+02
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFHpA,7.67E+03,2.51,3.88E+04,2.63,1.00E+02
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFHpA,4.90E+03,2.51,4.52E+04,2.62,1.00E+02
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFHpA,5.00E+03,2.52,4.04E+04,2.64,1.00E+03
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFHpA,4.77E+03,2.53,3.68E+04,2.62,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFHpA,5.46E+03,2.52,3.98E+04,2.62,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFHpA,2.13E+04,2.53,4.70E+04,2.65,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFHpA,1.11E+04,2.51,3.47E+04,2.57,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFHpA,3.02E+04,2.48,2.73E+04,2.56,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFHpA,3.08E+04,2.42,3.00E+04,2.54,1.00E+02
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFHpA,3.73E+04,2.53,3.10E+04,2.65,1.00E+02
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFHpA,3.09E+04,2.54,3.29E+04,2.62,1.00E+02
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,0,5.80E+03,2.62,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,1.35E+03,2.56,7.96E+03,2.65,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFHpA,1.51E+03,2.55,7.25E+03,2.61,2.14E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFHpA,2.34E+04,2.55,3.39E+03,2.61,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,3.1,3.55E+03,2.66,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,2.12E+03,2.63,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFHpA,6.22E+02,2.56,2.11E+03,2.63,1.03E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFHpA,1.49E+04,2.5,1.91E+03,2.63,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,2.05E+02,2.56,3.36E+03,2.61,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,9.76E+02,2.64,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFHpA,9.58E+02,2.41,1.42E+03,2.65,1.03E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFHpA,4.93E+03,2.53,9.37E+02,2.62,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,0,1.39E+03,2.68,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,1.04E+03,2.65,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFHpA,3.24E+02,2.54,7.81E+02,2.66,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFHpA,9.23E+03,2.54,1.35E+03,2.63,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,4.59E+02,2.54,7.38E+03,2.65,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Pestle,Biota,NIA,PFHpA,5.08E+02,2.51,3.85E+03,2.65,7.43E-01
2022_NIABiota_GroupA_Crayfish2,Sample,Pestle,Biota,NIA,PFHpA,6.06E+02,2.51,4.63E+03,2.63,6.35E-01
2022_NIABiota_GroupA_MortarBlank,Blank,Pestle,Biota,NIA,PFHpA,9.32E+03,2.54,6.39E+03,2.65,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Pestle,Biota,NIA,PFHpA,1.68E+03,2.45,5.61E+03,2.64,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFHpA,1.01E+03,2.59,4.42E+03,2.64,7.31E-01
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFHpA,4.34E+04,2.52,7.14E+03,2.65,8.26E-01
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,8.59E+02,2.58,8.61E+03,2.63,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,3.57E+02,2.51,3.40E+03,2.64,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHpA,6.89E+02,2.53,4.80E+03,2.66,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHpA,1.24E+04,2.54,2.77E+03,2.66,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFHpA,9.99E+02,2.52,8.37E+03,2.63,1.00E-01
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFHpA,1.27E+03,2.49,1.05E+04,2.66,1.00E-01
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFHpA,6.20E+02,2.55,6.29E+03,2.67,6.20E-01
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFHpA,5.46E+04,2.54,7.68E+03,2.62,6.91E-01
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,0.00E+00,0,5.54E+03,2.64,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,7.45E+02,2.69,2.46E+03,2.67,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.08E+03,2.66,7.03E-01
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFHpA,1.40E+04,2.53,1.09E+03,2.67,8.45E-01
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,3.66E+03,2.65,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.81E+03,2.64,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFHpA,2.36E+02,2.68,2.26E+03,2.65,6.74E-01
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFHpA,1.00E+04,2.54,2.90E+03,2.66,7.11E-01
2022_NIABiota_GroupD_Crayfish1,Sample,Pestle,Biota,NIA,PFHpA,1.06E+03,2.55,6.78E+03,2.64,5.77E-01
2022_NIABiota_GroupD_Crayfish2,Sample,Pestle,Biota,NIA,PFHpA,9.93E+02,2.59,3.79E+03,2.64,5.61E-01
2022_NIABiota_GroupD_MortarBlank,Blank,Pestle,Biota,NIA,PFHpA,6.11E+02,2.57,3.20E+03,2.63,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Pestle,Biota,NIA,PFHpA,3.63E+04,2.5,6.92E+03,2.64,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,1.10E+03,2.52,9.21E+03,2.65,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFHpA,5.04E+02,2.54,3.43E+03,2.67,8.01E-01
2022_NIABiota_GroupE_MortarBlank,Blank,Pestle,Biota,NIA,PFHpA,1.13E+03,2.51,8.01E+03,2.63,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Pestle,Biota,NIA,PFHpA,1.74E+02,2.55,1.62E+03,2.67,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Pestle,Biota,NIA,PFHpA,1.33E+04,2.55,5.60E+03,2.64,7.72E-01
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,6.84E+02,2.63,5.42E+03,2.65,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,5.14E+02,2.55,5.62E+03,2.64,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFHpA,6.88E+02,2.54,4.89E+03,2.66,5.50E-01
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFHpA,5.39E+02,2.59,4.83E+03,2.66,6.90E-01
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFHpA,1.42E+04,2.54,6.01E+03,2.67,7.02E-01
2022_NIABiota_GroupF_MortarBlank,Blank,Pestle,Biota,NIA,PFHpA,0.00E+00,0,2.01E+03,2.64,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Pestle,Biota,NIA,PFHpA,2.47E+02,2.57,4.68E+03,2.64,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Pestle,Biota,NIA,PFHpA,0.00E+00,0,4.00E+03,2.65,6.21E-01
2022_NIABiota_GroupF_Snail2,Sample,Pestle,Biota,NIA,PFHpA,1.03E+04,2.55,2.26E+03,2.67,5.42E-01
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,0.00E+00,2.62,1.32E+05,2.6,1.00E+00
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.43E+05,2.62,1.05E+05,2.6,1.00E+00
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.89E+05,2.63,1.08E+05,2.6,1.00E+00
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,8.10E+05,2.63,1.20E+05,2.61,1.00E+00
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.28E+06,2.63,1.17E+05,2.61,1.00E+00
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.29E+06,2.63,1.19E+05,2.62,1.00E+00
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.86E+06,2.62,1.08E+05,2.62,1.00E+00
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.46E+06,2.62,9.58E+04,2.62,1.00E+00
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.75E+06,2.63,8.20E+04,2.61,1.00E+00
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,5.89E+06,2.63,6.88E+04,2.62,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFOA,5.71E+05,2.64,5.46E+04,2.61,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFOA,3.28E+05,2.64,6.21E+04,2.62,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFOA,5.09E+05,2.64,4.73E+04,2.63,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFOA,3.25E+05,2.64,3.08E+04,2.64,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFOA,4.66E+05,2.64,3.92E+04,2.63,1.00E+02
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFOA,4.31E+05,2.65,3.88E+04,2.63,1.00E+02
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFOA,5.33E+05,2.64,4.52E+04,2.62,1.00E+02
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFOA,4.76E+05,2.63,4.04E+04,2.64,1.00E+03
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFOA,3.94E+05,2.64,3.68E+04,2.62,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFOA,4.28E+05,2.65,3.98E+04,2.62,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFOA,3.09E+05,2.64,4.70E+04,2.65,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFOA,2.84E+05,2.6,3.47E+04,2.57,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFOA,2.88E+05,2.57,2.73E+04,2.56,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFOA,4.19E+05,2.53,3.00E+04,2.54,1.00E+02
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFOA,3.74E+05,2.64,3.10E+04,2.65,1.00E+02
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFOA,3.84E+05,2.63,3.29E+04,2.62,1.00E+02
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFOA,8.05E+04,2.67,5.80E+03,2.62,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFOA,7.80E+04,2.62,7.96E+03,2.65,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFOA,6.12E+04,2.66,7.25E+03,2.61,2.14E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFOA,6.85E+04,2.64,3.39E+03,2.61,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFOA,3.75E+04,2.65,3.55E+03,2.66,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFOA,3.47E+04,2.65,2.12E+03,2.63,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFOA,2.73E+04,2.65,2.11E+03,2.63,1.03E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFOA,3.23E+04,2.62,1.91E+03,2.63,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFOA,1.99E+04,2.65,3.36E+03,2.61,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFOA,1.85E+04,2.66,9.76E+02,2.64,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFOA,1.65E+04,2.66,1.42E+03,2.65,1.03E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFOA,2.16E+04,2.66,9.37E+02,2.62,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFOA,2.63E+04,2.65,1.39E+03,2.68,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFOA,2.18E+04,2.67,1.04E+03,2.65,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFOA,1.99E+04,2.65,7.81E+02,2.66,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFOA,3.05E+04,2.66,1.35E+03,2.63,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,7.66E+04,2.66,7.38E+03,2.65,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Pestle,Biota,NIA,PFOA,5.05E+04,2.67,3.85E+03,2.65,7.43E-01
2022_NIABiota_GroupA_Crayfish2,Sample,Pestle,Biota,NIA,PFOA,4.92E+04,2.67,4.63E+03,2.63,6.35E-01
2022_NIABiota_GroupA_MortarBlank,Blank,Pestle,Biota,NIA,PFOA,8.54E+04,2.65,6.39E+03,2.65,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Pestle,Biota,NIA,PFOA,5.98E+04,2.65,5.61E+03,2.64,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFOA,4.70E+04,2.68,4.42E+03,2.64,7.31E-01
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFOA,8.93E+04,2.64,7.14E+03,2.65,8.26E-01
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,6.43E+04,2.67,8.61E+03,2.63,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFOA,5.21E+04,2.66,3.40E+03,2.64,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFOA,5.49E+04,2.67,4.80E+03,2.66,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOA,5.70E+04,2.65,2.77E+03,2.66,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFOA,6.30E+04,2.67,8.37E+03,2.63,1.00E-01
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFOA,8.29E+04,2.65,1.05E+04,2.66,1.00E-01
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFOA,7.77E+04,2.66,6.29E+03,2.67,6.20E-01
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFOA,1.19E+05,2.66,7.68E+03,2.62,6.91E-01
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,7.09E+04,2.65,5.54E+03,2.64,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFOA,3.10E+04,2.67,2.46E+03,2.67,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFOA,1.70E+04,2.64,1.08E+03,2.66,7.03E-01
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFOA,3.44E+04,2.64,1.09E+03,2.67,8.45E-01
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFOA,4.72E+04,2.66,3.66E+03,2.65,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOA,2.06E+04,2.65,1.81E+03,2.64,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFOA,2.87E+04,2.66,2.26E+03,2.65,6.74E-01
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFOA,4.50E+04,2.67,2.90E+03,2.66,7.11E-01
2022_NIABiota_GroupD_Crayfish1,Sample,Pestle,Biota,NIA,PFOA,6.53E+04,2.66,6.78E+03,2.64,5.77E-01
2022_NIABiota_GroupD_Crayfish2,Sample,Pestle,Biota,NIA,PFOA,3.30E+04,2.68,3.79E+03,2.64,5.61E-01
2022_NIABiota_GroupD_MortarBlank,Blank,Pestle,Biota,NIA,PFOA,5.76E+04,2.66,3.20E+03,2.63,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Pestle,Biota,NIA,PFOA,1.20E+05,2.65,6.92E+03,2.64,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,5.52E+04,2.63,9.21E+03,2.65,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFOA,4.02E+04,2.66,3.43E+03,2.67,8.01E-01
2022_NIABiota_GroupE_MortarBlank,Blank,Pestle,Biota,NIA,PFOA,5.10E+04,2.64,8.01E+03,2.63,1.00E+00
2022_NIABiota_GroupE_MortarSpike,Spike,Pestle,Biota,NIA,PFOA,2.40E+04,2.65,1.62E+03,2.67,1.00E+00
2022_NIABiota_GroupE_Snail,Sample,Pestle,Biota,NIA,PFOA,5.57E+04,2.66,5.60E+03,2.64,7.72E-01
2022_NIABiota_GroupF_BlenderBlank,Blank,Blender,Biota,NIA,PFOA,8.22E+04,2.67,5.42E+03,2.65,1.00E+00
2022_NIABiota_GroupF_BlenderSpike,Spike,Blender,Biota,NIA,PFOA,4.81E+04,2.69,5.62E+03,2.64,1.00E+00
2022_NIABiota_GroupF_LargeSunfish1,Sample,Blender,Biota,NIA,PFOA,6.33E+04,2.65,4.89E+03,2.66,5.50E-01
2022_NIABiota_GroupF_LargeSunfish2,Sample,Blender,Biota,NIA,PFOA,5.09E+04,2.67,4.83E+03,2.66,6.90E-01
2022_NIABiota_GroupF_LargeSunfish3,Sample,Blender,Biota,NIA,PFOA,8.00E+04,2.65,6.01E+03,2.67,7.02E-01
2022_NIABiota_GroupF_MortarBlank,Blank,Pestle,Biota,NIA,PFOA,1.68E+04,2.67,2.01E+03,2.64,1.00E+00
2022_NIABiota_GroupF_MortarSpike,Spike,Pestle,Biota,NIA,PFOA,5.90E+04,2.65,4.68E+03,2.64,1.00E+00
2022_NIABiota_GroupF_Snail1,Sample,Pestle,Biota,NIA,PFOA,4.11E+04,2.67,4.00E+03,2.65,6.21E-01
2022_NIABiota_GroupF_Snail2,Sample,Pestle,Biota,NIA,PFOA,3.73E+04,2.63,2.26E+03,2.67,5.42E-01
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,0.00E+00,2.74,1.40E+05,2.74,1.00E+00
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.90E+04,2.75,1.11E+05,2.74,1.00E+00
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,5.89E+04,2.74,1.08E+05,2.75,1.00E+00
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.09E+05,2.75,1.07E+05,2.73,1.00E+00
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.85E+05,2.75,8.08E+04,2.73,1.00E+00
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.26E+05,2.74,7.76E+04,2.74,1.00E+00
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,6.36E+05,2.76,7.80E+04,2.74,1.00E+00
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.26E+06,2.75,6.26E+04,2.74,1.00E+00
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,2.03E+06,2.76,6.00E+04,2.75,1.00E+00
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.75E+06,2.76,4.40E+04,2.77,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFNA,5.94E+03,2.79,5.26E+04,2.76,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFNA,2.03E+04,2.76,4.49E+04,2.75,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFNA,2.23E+04,2.77,4.71E+04,2.76,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFNA,5.29E+03,2.77,3.06E+04,2.79,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFNA,4.28E+03,2.79,4.17E+04,2.76,1.00E+02
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFNA,3.94E+03,2.77,3.37E+04,2.76,1.00E+02
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFNA,2.45E+03,2.75,3.60E+04,2.75,1.00E+02
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFNA,2.98E+03,2.77,3.60E+04,2.77,1.00E+03
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFNA,0.00E+00,0,4.21E+04,2.75,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFNA,1.67E+03,2.77,3.82E+04,2.76,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFNA,2.74E+04,2.8,3.64E+04,2.76,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFNA,1.05E+04,2.73,2.93E+04,2.71,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFNA,4.00E+03,2.68,2.77E+04,2.69,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFNA,1.80E+04,2.68,1.97E+04,2.68,1.00E+02
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFNA,2.22E+04,2.76,2.42E+04,2.77,1.00E+02
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFNA,2.11E+04,2.77,2.74E+04,2.76,1.00E+02
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFNA,0.00E+00,0,7.41E+03,2.76,1.00E+00
