Sample name ,Date,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Normalization factor
102521_CHM4110_GroupD_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHxA,649,3.61,143000,1
102521_CHM4110_GroupD_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHxA,349,3.62,83900,1
102521_CHM4110_GroupD_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHxA,720500,3.6,52200,1.0623
102521_CHM4110_GroupD_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHxA,654314,3.6,65000,0.9686
102521_CHM4110_GroupD_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHxA,670200,3.61,31100,1.2429
102521_CHM4110_GroupD_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFHxS,780,3.77,2860,1
102521_CHM4110_GroupD_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHxS,0,0,1340,1
102521_CHM4110_GroupD_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHxS,0,0,4590,1
102521_CHM4110_GroupD_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHxS,872,3.74,1520,1.0623
102521_CHM4110_GroupD_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHxS,881,3.74,1590,0.9686
102521_CHM4110_GroupD_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHxS,749,3.73,1610,1.2429
102521_CHM4110_GroupD_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFNA,609100,4.06,83000,1
102521_CHM4110_GroupD_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFNA,5570,4.06,6726,1
102521_CHM4110_GroupD_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFNA,693,4.06,8910,1
102521_CHM4110_GroupD_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFNA,534090,4.06,231000,1.0623
102521_CHM4110_GroupD_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFNA,190400,4.06,120000,0.9686
102521_CHM4110_GroupD_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFNA,178000,4.06,95400,1.2429
102521_CHM4110_GroupD_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFOA,883000,3.87,211000,1
102521_CHM4110_GroupD_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFOA,1670,3.87,212000,1
102521_CHM4110_GroupD_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFOA,978,3.87,195000,1
102521_CHM4110_GroupD_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFOA,670800,3.88,100000,1.0623
102521_CHM4110_GroupD_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFOA,470300,3.88,110000,0.9686
102521_CHM4110_GroupD_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFOA,49540,3.88,69400,1.2429
102521_CHM4110_GroupD_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFOS,12203,4.02,2360,1
102521_CHM4110_GroupD_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFOS,90071,4.03,172000,1
102521_CHM4110_GroupD_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFOS,8050,4.04,12000,1
102521_CHM4110_GroupD_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFOS,41200,4.02,5160,1.0623
102521_CHM4110_GroupD_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFOS,38700,4.03,2370,0.9686
102521_CHM4110_GroupD_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFOS,64009,4.03,6090,1.2429
102521_CHM4110_GroupE_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFDA,302800,4.17,87700,1
102521_CHM4110_GroupE_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFDA,274,4.17,45600,1
102521_CHM4110_GroupE_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFDA,6230,4.16,49200,1
102521_CHM4110_GroupE_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFDA,607000,4.16,44100,0.9943
102521_CHM4110_GroupE_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFDA,810090,4.16,38000,0.9891
102521_CHM4110_GroupE_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFDA,970050,4.16,56400,1.0455
102521_CHM4110_GroupE_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFHpA,151000,3.78,44000,1
102521_CHM4110_GroupE_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHpA,8273,4.2,211000,1
102521_CHM4110_GroupE_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHpA,2832,4.19,264000,1
102521_CHM4110_GroupE_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHpA,89000,3.76,20500,0.9943
102521_CHM4110_GroupE_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHpA,218600,3.78,64800,0.9891
102521_CHM4110_GroupE_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHpA,239600,3.8,20500,1.0455
102521_CHM4110_GroupE_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFHxA,596000,3.58,124000,1
102521_CHM4110_GroupE_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHxA,7263,3.6,728340,1
102521_CHM4110_GroupE_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHxA,7630,3.59,92512,1
102521_CHM4110_GroupE_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHxA,756300,3.59,50000,0.9943
102521_CHM4110_GroupE_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHxA,633300,3.61,104000,0.9891
102521_CHM4110_GroupE_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHxA,820500,3.58,65000,1.0455
102521_CHM4110_GroupE_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFHxS,2710,3.7,17283,1
102521_CHM4110_GroupE_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHxS,0,0,3520,1
102521_CHM4110_GroupE_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHxS,0,0,2610,1
102521_CHM4110_GroupE_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHxS,1770,3.76,3520,0.9943
102521_CHM4110_GroupE_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHxS,1740,3.75,2910,0.9891
102521_CHM4110_GroupE_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHxS,1650,3.75,8000,1.0455
102521_CHM4110_GroupE_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFNA,412000,4.06,119000,1
102521_CHM4110_GroupE_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFNA,466,4.06,9300,1
102521_CHM4110_GroupE_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFNA,2170,4.06,9060,1
102521_CHM4110_GroupE_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFNA,637000,4.06,96700,0.9943
102521_CHM4110_GroupE_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFNA,494500,4.06,242000,0.9891
102521_CHM4110_GroupE_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFNA,150700,4.06,107000,1.0455
102521_CHM4110_GroupE_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFOA,770000,3.91,264000,1
102521_CHM4110_GroupE_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFOA,1280,3.88,242000,1
102521_CHM4110_GroupE_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFOA,1550,3.89,211000,1
102521_CHM4110_GroupE_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFOA,509300,3.88,86000,0.9943
102521_CHM4110_GroupE_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFOA,700300,3.88,122000,0.9891
102521_CHM4110_GroupE_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFOA,410200,3.88,84200,1.0455
102521_CHM4110_GroupE_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFOS,10120,4.04,2930,1
102521_CHM4110_GroupE_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFOS,67500,4.04,138000,1
102521_CHM4110_GroupE_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFOS,203000,4.03,246000,1
102521_CHM4110_GroupE_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFOS,66009,4.02,5390,0.9943
102521_CHM4110_GroupE_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFOS,95400,4,6340,0.9891
102521_CHM4110_GroupE_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFOS,38500,4.04,2600,1.0455
102521_CHM4110_GroupF_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFDA,93400,4.15,41600,1
102521_CHM4110_GroupF_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFDA,6523,4.14,57100,1
102521_CHM4110_GroupF_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFDA,8290,4.14,17700,1
102521_CHM4110_GroupF_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFDA,681200,4.15,78200,1.0003
102521_CHM4110_GroupF_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFDA,499080,4.15,92100,0.9743
102521_CHM4110_GroupF_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFDA,656789,4.15,42700,0.9844
102521_CHM4110_GroupF_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFHpA,198340,3.77,40900,1
102521_CHM4110_GroupF_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHpA,1750,4.2,100000,1
102521_CHM4110_GroupF_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHpA,1040,4.21,86000,1
102521_CHM4110_GroupF_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHpA,319600,3.79,95000,1.0003
102521_CHM4110_GroupF_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHpA,239600,3.78,95000,0.9743
102521_CHM4110_GroupF_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHpA,231100,3.8,42100,0.9844
102521_CHM4110_GroupF_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFHxA,801100,3.59,124000,1
102521_CHM4110_GroupF_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHxA,549,3.62,145000,1
102521_CHM4110_GroupF_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHxA,699,3.6,64800,1
102521_CHM4110_GroupF_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHxA,590500,3.6,41600,1.0003
102521_CHM4110_GroupF_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHxA,690500,3.6,25600,0.9743
102521_CHM4110_GroupF_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHxA,680800,3.61,63000,0.9844
102521_CHM4110_GroupF_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFHxS,1660,3.77,3520,1
102521_CHM4110_GroupF_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFHxS,0,0,8730,1
102521_CHM4110_GroupF_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFHxS,0,0,8000,1
102521_CHM4110_GroupF_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFHxS,2080,3.77,1860,1.0003
102521_CHM4110_GroupF_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFHxS,4570,3.77,8730,0.9743
102521_CHM4110_GroupF_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFHxS,1410,3.77,1340,0.9844
102521_CHM4110_GroupF_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFNA,306500,4.06,69800,1
102521_CHM4110_GroupF_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFNA,353,4.06,7180,1
102521_CHM4110_GroupF_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFNA,271,4.06,8370,1
102521_CHM4110_GroupF_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFNA,270600,4.06,211000,1.0003
102521_CHM4110_GroupF_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFNA,211000,4.06,155000,0.9743
102521_CHM4110_GroupF_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFNA,120900,4.06,99700,0.9844
102521_CHM4110_GroupF_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFOA,1102834,3.87,201000,1
102521_CHM4110_GroupF_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFOA,2883,3.86,231000,1
102521_CHM4110_GroupF_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFOA,1211,3.86,80300,1
102521_CHM4110_GroupF_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFOA,700089,3.87,145000,1.0003
102521_CHM4110_GroupF_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFOA,499810,3.86,167000,0.9743
102521_CHM4110_GroupF_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFOA,491000,3.86,69300,0.9844
102521_CHM4110_GroupF_NIA_Sediment_Spike,102521,Spike,Field,Sediment,NIA,PFOS,9050,4,1950,1
102521_CHM4110_GroupF_NIA_Sediment_FieldBlank,102521,Blank,Field,Sediment,NIA,PFOS,100090,4.02,210000,1
102521_CHM4110_GroupF_NIA_Sediment_LabBlank,102521,Blank,Lab,Sediment,NIA,PFOS,52300,4,106200,1
102521_CHM4110_GroupF_NIA_Sediment1,102521,Sample,Field,Sediment,NIA,PFOS,82700,4.04,8040,1.0003
102521_CHM4110_GroupF_NIA_Sediment2,102521,Sample,Field,Sediment,NIA,PFOS,35070,4.02,2340,0.9743
102521_CHM4110_GroupF_NIA_Sediment3,102521,Sample,Field,Sediment,NIA,PFOS,22600,4.03,2060,0.9844
102521_CHM4110_GroupA_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFDA,5.73E+03,4.17,5.24E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFHpA,9.90E+02,3.77,2.93E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFHxA,3.27E+02,3.61,8.93E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFHxS,8.29E+02,3.76,1.52E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFNA,1.33E+03,4.11,6.98E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFOA,5.94E+03,3.95,2.01E+05,1
102521_CHM4110_GroupA_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFOS,1.20E+02,4.09,1.95E+03,1
102521_CHM4110_GroupA_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFDA,5.85E+03,4.17,1.98E+05,1
102521_CHM4110_GroupA_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFHpA,2.32E+02,3.78,2.38E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFHxA,1.72E+02,3.6,9.28E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFHxS,7.16E+02,3.77,1.59E+04,1
102521_CHM4110_GroupA_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFNA,9.23E+02,4.12,7.28E+03,1
102521_CHM4110_GroupA_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFOA,5.85E+03,3.96,1.55E+05,1
102521_CHM4110_GroupA_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFOS,1.23E+02,4.09,8.70E+03,1
102521_CHM4110_GroupA_20MC_Biota_2x_UnknownFish1,102521,Sample,Blender,Biota,20MC,PFDA,1.31E+04,4.17,1.26E+05,1.879
102521_CHM4110_GroupA_20MC_Biota_2x_UnknownFish1,102521,Sample,Blender,Biota,20MC,PFHpA,1.02E+03,3.76,2.70E+04,1.879
102521_CHM4110_GroupA_20MC_Biota_2x_UnknownFish1,102521,Sample,Blender,Biota,20MC,PFHxA,1.92E+03,3.6,3.32E+03,1.879
102521_CHM4110_GroupA_20MC_Biota_2x_UnknownFish1,102521,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,0,2.55E+05,1.879
102521_CHM4110_GroupA_20MC_Biota_2x_UnknownFish1,102521,Sample,Blender,Biota,20MC,PFNA,3.25E+03,4.09,2.52E+05,1.879
102521_CHM4110_GroupA_20MC_Biota_2x_UnknownFish1,102521,Sample,Blender,Biota,20MC,PFOA,1.33E+04,3.96,8.60E+04,1.879
102521_CHM4110_GroupA_20MC_Biota_2x_UnknownFish1,102521,Sample,Blender,Biota,20MC,PFOS,8.27E+03,4.09,2.70E+03,1.879
102521_CHM4110_GroupB_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFDA,5.39E+03,4.17,1.77E+04,1
102521_CHM4110_GroupB_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFHpA,1.02E+02,3.76,1.99E+04,1
102521_CHM4110_GroupB_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFHxA,9.38E+02,3.6,1.03E+05,1
102521_CHM4110_GroupB_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFHxS,9.48E+02,3.75,1.61E+04,1
102521_CHM4110_GroupB_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFNA,1.90E+01,4.09,8.94E+03,1
102521_CHM4110_GroupB_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFOA,2.35E+03,3.93,2.52E+05,1
102521_CHM4110_GroupB_20MC_Biota_2x_HomogenizerBlank,102521,Blank,Homogenizer,Biota,20MC,PFOS,2.12E+02,4.09,9.90E+03,1
102521_CHM4110_GroupB_20MC_Biota_2x_MortarPestleBlank,102521,Blank,Pestle,Biota,20MC,PFDA,1.10E+03,4.17,1.13E+04,1
102521_CHM4110_GroupB_20MC_Biota_2x_MortarPestleBlank,102521,Blank,Pestle,Biota,20MC,PFHpA,2.73E+02,3.78,1.67E+04,1
102521_CHM4110_GroupB_20MC_Biota_2x_MortarPestleBlank,102521,Blank,Pestle,Biota,20MC,PFHxA,7.82E+02,3.59,7.03E+04,1
102521_CHM4110_GroupB_20MC_Biota_2x_MortarPestleBlank,102521,Blank,Pestle,Biota,20MC,PFHxS,1.72E+02,3.77,3.52E+03,1
102521_CHM4110_GroupB_20MC_Biota_2x_MortarPestleBlank,102521,Blank,Pestle,Biota,20MC,PFNA,9.18E+02,4.11,6.73E+03,1
102521_CHM4110_GroupB_20MC_Biota_2x_MortarPestleBlank,102521,Blank,Pestle,Biota,20MC,PFOA,4.81E+03,3.96,2.12E+05,1
102521_CHM4110_GroupB_20MC_Biota_2x_MortarPestleBlank,102521,Blank,Pestle,Biota,20MC,PFOS,3.45E+02,4.09,1.72E+05,1
102521_CHM4110_GroupB_20MC_Biota_2x_Snail1,102521,Sample,Homogenizer,Biota,20MC,PFDA,2.19E+03,4.18,7.82E+04,1.085
102521_CHM4110_GroupB_20MC_Biota_2x_Snail1,102521,Sample,Homogenizer,Biota,20MC,PFHpA,4.64E+02,3.78,2.60E+04,1.085
102521_CHM4110_GroupB_20MC_Biota_2x_Snail1,102521,Sample,Homogenizer,Biota,20MC,PFHxA,9.10E+02,3.59,5.43E+03,1.085
102521_CHM4110_GroupB_20MC_Biota_2x_Snail1,102521,Sample,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,8.73E+03,1.085
102521_CHM4110_GroupB_20MC_Biota_2x_Snail1,102521,Sample,Homogenizer,Biota,20MC,PFNA,2.35E+03,4.11,2.12E+05,1.085
102521_CHM4110_GroupB_20MC_Biota_2x_Snail1,102521,Sample,Homogenizer,Biota,20MC,PFOA,3.34E+03,3.97,1.00E+05,1.085
102521_CHM4110_GroupB_20MC_Biota_2x_Snail1,102521,Sample,Homogenizer,Biota,20MC,PFOS,9.28E+03,4.09,4.00E+03,1.085
102521_CHM4110_GroupB_20MC_Biota_2x_Snail2,102521,Sample,Homogenizer,Biota,20MC,PFDA,1.63E+03,4.17,9.21E+04,0.8108
102521_CHM4110_GroupB_20MC_Biota_2x_Snail2,102521,Sample,Homogenizer,Biota,20MC,PFHpA,2.83E+02,3.76,2.11E+04,0.8108
102521_CHM4110_GroupB_20MC_Biota_2x_Snail2,102521,Sample,Homogenizer,Biota,20MC,PFHxA,8.30E+02,3.61,7.33E+04,0.8108
102521_CHM4110_GroupB_20MC_Biota_2x_Snail2,102521,Sample,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,1.34E+03,0.8108
102521_CHM4110_GroupB_20MC_Biota_2x_Snail2,102521,Sample,Homogenizer,Biota,20MC,PFNA,2.61E+03,4.09,1.55E+05,0.8108
102521_CHM4110_GroupB_20MC_Biota_2x_Snail2,102521,Sample,Homogenizer,Biota,20MC,PFOA,2.26E+03,3.97,1.13E+05,0.8108
102521_CHM4110_GroupB_20MC_Biota_2x_Snail2,102521,Sample,Homogenizer,Biota,20MC,PFOS,8.37E+03,4.09,2.66E+03,0.8108
102521_CHM4110_GroupB_20MC_Biota_2x_Snail3,102521,Sample,Homogenizer,Biota,20MC,PFDA,1.18E+03,4.23,4.27E+04,1.0582
102521_CHM4110_GroupB_20MC_Biota_2x_Snail3,102521,Sample,Homogenizer,Biota,20MC,PFHpA,9.83E+02,3.77,1.87E+04,1.0582
102521_CHM4110_GroupB_20MC_Biota_2x_Snail3,102521,Sample,Homogenizer,Biota,20MC,PFHxA,8.71E+02,3.61,8.37E+03,1.0582
102521_CHM4110_GroupB_20MC_Biota_2x_Snail3,102521,Sample,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,2.55E+05,1.0582
102521_CHM4110_GroupB_20MC_Biota_2x_Snail3,102521,Sample,Homogenizer,Biota,20MC,PFNA,7.03E+03,4.11,2.31E+05,1.0582
102521_CHM4110_GroupB_20MC_Biota_2x_Snail3,102521,Sample,Homogenizer,Biota,20MC,PFOA,1.44E+03,3.97,1.00E+05,1.0582
102521_CHM4110_GroupB_20MC_Biota_2x_Snail3,102521,Sample,Homogenizer,Biota,20MC,PFOS,7626.666667,4.09,5.16E+03,1.0582
102521_CHM4110_GroupB_20MC_Biota_2x_Snail4,102521,Sample,Homogenizer,Biota,20MC,PFDA,1.42E+03,4.17,5.71E+04,1.0118
102521_CHM4110_GroupB_20MC_Biota_2x_Snail4,102521,Sample,Homogenizer,Biota,20MC,PFHpA,8.29E+02,3.79,2.91E+04,1.0118
102521_CHM4110_GroupB_20MC_Biota_2x_Snail4,102521,Sample,Homogenizer,Biota,20MC,PFHxA,5.26E+02,3.58,8.93E+03,1.0118
102521_CHM4110_GroupB_20MC_Biota_2x_Snail4,102521,Sample,Homogenizer,Biota,20MC,PFHxS,0.00E+00,0,1.59E+03,1.0118
102521_CHM4110_GroupB_20MC_Biota_2x_Snail4,102521,Sample,Homogenizer,Biota,20MC,PFNA,5.68E+03,4.12,1.20E+05,1.0118
102521_CHM4110_GroupB_20MC_Biota_2x_Snail4,102521,Sample,Homogenizer,Biota,20MC,PFOA,1.87E+03,3.97,1.10E+05,1.0118
102521_CHM4110_GroupB_20MC_Biota_2x_Snail4,102521,Sample,Homogenizer,Biota,20MC,PFOS,5.23E+03,4.09,2.37E+03,1.0118
102521_CHM4110_GroupB_20MC_Biota_2x_Whirligig1,102521,Sample,Pestle,Biota,20MC,PFDA,4.83E+03,4.16,4.16E+04,0.4588
102521_CHM4110_GroupB_20MC_Biota_2x_Whirligig1,102521,Sample,Pestle,Biota,20MC,PFHpA,2.03E+03,3.77,2.04E+04,0.4588
102521_CHM4110_GroupB_20MC_Biota_2x_Whirligig1,102521,Sample,Pestle,Biota,20MC,PFHxA,7.38E+02,3.6,9.28E+03,0.4588
102521_CHM4110_GroupB_20MC_Biota_2x_Whirligig1,102521,Sample,Pestle,Biota,20MC,PFHxS,0.00E+00,0,1.61E+03,0.4588
102521_CHM4110_GroupB_20MC_Biota_2x_Whirligig1,102521,Sample,Pestle,Biota,20MC,PFNA,8.77E+03,4.11,9.54E+04,0.4588
102521_CHM4110_GroupB_20MC_Biota_2x_Whirligig1,102521,Sample,Pestle,Biota,20MC,PFOA,1.03E+04,3.97,6.94E+04,0.4588
102521_CHM4110_GroupB_20MC_Biota_2x_Whirligig1,102521,Sample,Pestle,Biota,20MC,PFOS,1.50E+03,4.09,6.09E+03,0.4588
102521_CHM4110_GroupC_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFDA,2.67E+03,4.16,8.22E+04,1
102521_CHM4110_GroupC_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFHpA,6.70E+03,3.76,2.44E+06,1
102521_CHM4110_GroupC_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFHxA,3.63E+02,3.61,7.93E+04,1
102521_CHM4110_GroupC_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFHxS,3.44E+02,3.75,2.91E+04,1
102521_CHM4110_GroupC_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFNA,9.28E+02,4.09,8.91E+03,1
102521_CHM4110_GroupC_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFOA,2.85E+04,3.96,1.95E+05,1
102521_CHM4110_GroupC_20MC_Biota_2x_BlenderBlank,102521,Blank,Blender,Biota,20MC,PFOS,3.69E+02,4.09,1.20E+04,1
102521_CHM4110_GroupC_20MC_Biota_2x_Catfish1,102521,Sample,Blender,Biota,20MC,PFDA,2.86E+03,4.21,4.41E+04,0.5329
102521_CHM4110_GroupC_20MC_Biota_2x_Catfish1,102521,Sample,Blender,Biota,20MC,PFHpA,4.87E+03,3.78,2.93E+04,0.5329
102521_CHM4110_GroupC_20MC_Biota_2x_Catfish1,102521,Sample,Blender,Biota,20MC,PFHxA,1.44E+03,3.61,1.03E+04,0.5329
102521_CHM4110_GroupC_20MC_Biota_2x_Catfish1,102521,Sample,Blender,Biota,20MC,PFHxS,0.00E+00,0,3.52E+03,0.5329
102521_CHM4110_GroupC_20MC_Biota_2x_Catfish1,102521,Sample,Blender,Biota,20MC,PFNA,7.53E+04,4.12,9.67E+04,0.5329
102521_CHM4110_GroupC_20MC_Biota_2x_Catfish1,102521,Sample,Blender,Biota,20MC,PFOA,2.89E+04,3.98,8.60E+04,0.5329
